"TaskID","StartTime","EndTime","Duration"
"0.0","80.0","109.0","29.0"
"1.0","352.0","401.0","49.0"
"2.0","1057.0","1089.0","32.0"
"3.0","902.0","975.0","73.0"
"4.0","319.0","380.0","61.0"
"5.0","558.0","643.0","85.0"
"6.0","452.0","508.0","56.0"
"7.0","643.0","741.0","98.0"
"8.0","277.0","352.0","75.0"
"9.0","278.0","319.0","41.0"
"10.0","0.0","87.0","87.0"
"11.0","209.0","278.0","69.0"
"12.0","319.0","352.0","33.0"
"13.0","0.0","80.0","80.0"
"14.0","832.0","902.0","70.0"
"15.0","643.0","735.0","92.0"
"16.0","111.0","126.0","15.0"
"17.0","478.0","490.0","12.0"
"18.0","165.0","209.0","44.0"
"19.0","741.0","817.0","76.0"
"20.0","490.0","551.0","61.0"
"21.0","1215.0","1228.0","13.0"
"22.0","266.0","277.0","11.0"
"23.0","0.0","81.0","81.0"
"24.0","735.0","832.0","97.0"
"25.0","1047.0","1112.0","65.0"
"26.0","37.0","99.0","62.0"
"27.0","487.0","558.0","71.0"
"28.0","980.0","1046.0","66.0"
"29.0","87.0","168.0","81.0"
"30.0","817.0","896.0","79.0"
"31.0","1215.0","1265.0","50.0"
"32.0","380.0","452.0","72.0"
"33.0","80.0","99.0","19.0"
"34.0","1204.0","1266.0","62.0"
"35.0","980.0","1047.0","67.0"
"36.0","643.0","723.0","80.0"
"37.0","1089.0","1128.0","39.0"
"38.0","492.0","561.0","69.0"
"39.0","0.0","27.0","27.0"
"40.0","0.0","75.0","75.0"
"41.0","980.0","1057.0","77.0"
"42.0","99.0","111.0","12.0"
"43.0","1128.0","1215.0","87.0"
"44.0","501.0","548.0","47.0"
"45.0","551.0","640.0","89.0"
"46.0","741.0","820.0","79.0"
"47.0","1112.0","1204.0","92.0"
"48.0","401.0","468.0","67.0"
"49.0","165.0","261.0","96.0"
"50.0","319.0","347.0","28.0"
"51.0","278.0","308.0","30.0"
"52.0","87.0","165.0","78.0"
"53.0","468.0","478.0","10.0"
"54.0","0.0","58.0","58.0"
"55.0","168.0","266.0","98.0"
"56.0","896.0","980.0","84.0"
"57.0","1228.0","1262.0","34.0"
"58.0","0.0","37.0","37.0"
"59.0","561.0","627.0","66.0"
